"partner","description","cif_value_cedi","net_weight_kg","net_weight_cedi_kg","share_percent"
"CHINA","Cyclanic, cyclenic, or cycloterpenic alcohols and their … derivatives",11554826,1000,11555,0
"TAIWAN, PR","Cyclanic, cyclenic, or cycloterpenic alcohols and their … derivatives",1576423,2600,606,0
"UNITED KIN","Aromatic cyclic alcohols and their halogenated … derivatives",932220,50,18644,0
"SWITZERLAN","Cresols, n. e. s., and their salts",2628156,75,35042,0
"UNITED STA","Cresols, n. e. s., and their salts",2866233,3000,1289,0
"GERMANY, F","Other phenols and phenol - alcohols, nes",25651537,2850,9001,0
"NETHERLAND","Other phenols and phenol - alcohols, nes",17816204,15200,1172,0
"TAIWAN, PR","Halogenated … derivatives of phenols and phenol - alcohols, nes",2877588,3600,799,0
"UNITED KIN","Halogenated … derivatives of phenols and phenol - alcohols, nes",219674,40,4592,0
"GERMANY, F","Acetic acid and its salts",13933515,12605,1105,0
"NETHERLAND","Acetic acid and its salts",792356,2368,335,0
"SWEDEN","Acetic acid and its salts",1102341,1980,557,0
"SWITZERLAN","Acetic acid and its salts",4949441,1780,2781,0
"UNITED KIN","Acetic acid and its salts",244424,40,6111,0
"UNITED STA","Acetic acid and its salts",2598560,170,15286,0
"TAIWAN, PR","Palmitic acid, stearic acid, their salts and esters",1658719,3000,553,0
"GERMANY, F","Palmitic acid, stearic acid, their salts and esters",7063196,3870,1825,0
"BELGIUM","Saturated acyclic monocarboxylic acids and their … derivaives, nes",1366704,240,5695,0
"TAIWAN, PR","Saturated acyclic monocarboxylic acids and their … derivaives, nes",5309305,4050,1311,0
"GERMANY, F","Saturated acyclic monocarboxylic acids and their … derivaives, nes",8313428,2025,4105,0
"BELGIUM","Other unsaturated monocarboxylic acids and their… derivatives",2210570,1700,1300,0
"CHINA","Other unsaturated monocarboxylic acids and their… derivatives",169680,282,602,0
"DENMARK","Other unsaturated monocarboxylic acids and their… derivatives",3015316,513,5878,0
"FRANCE","Other unsaturated monocarboxylic acids and their… derivatives",2169527,1867,1162,0
"GERMANY, F","Other unsaturated monocarboxylic acids and their… derivatives",8282021,665,12454,0
"UNITED KIN","Other unsaturated monocarboxylic acids and their… derivatives",99910,8,12489,0
"UNITED STA","Other unsaturated monocarboxylic acids and their… derivatives",1478461,440,3360,0
"BELGIUM","Dioctyl orthophthalates",9043100,15600,580,0
"GERMANY, F","Dioctyl orthophthalates",5858870,10000,586,0
"BRAZIL","Polycarboxylic acids, nes and their … derivatives",11746545,18,652586,0
"UNITED KIN","Polycarboxylic acids, nes and their … derivatives",916751,110,8334,0
"UNITED STA","Polycarboxylic acids, nes and their … derivatives",10818,5,2164,0
"CHINA","Lactic acid, tartaric acid, citric acid and their salts and esters",5955910,5000,1191,0
"DENMARK","Lactic acid, tartaric acid, citric acid and their salts and esters",4300527,2400,1792,0
"FRANCE","Lactic acid, tartaric acid, citric acid and their salts and esters",2993536,2050,1460,0
"GERMANY, F","Lactic acid, tartaric acid, citric acid and their salts and esters",10188173,5000,2038,0
"NETHERLAND","Lactic acid, tartaric acid, citric acid and their salts and esters",27597,5,5519,0
"SWEDEN","Lactic acid, tartaric acid, citric acid and their salts and esters",868658,500,1737,0
"UNITED KIN","Lactic acid, tartaric acid, citric acid and their salts and esters",11234724,4425,2539,0
"UNITED STA","Lactic acid, tartaric acid, citric acid and their salts and esters",767477,480,1599,0
"BELGIUM","Other carboxylic acids with alcohol function but without oxygen function",2254351,3000,751,0
"DENMARK","Other carboxylic acids with alcohol function but without oxygen function",2267078,200,11335,0
"UNITED KIN","Other carboxylic acids with alcohol function but without oxygen function",716830,200,3584,0
"UNITED KIN","Salicylic acid and its salts and esters",694139,6,115690,0
"AUSTRALIA","Other carboxylic acids with phenol function but without oxygen function",31853,40,796,0
"UNITED KIN","Carboxylic acids with additional oxygen functions, nes",121430,10,12143,0
"UNITED STA","Carboxylic acids with additional oxygen functions, nes",155232,50,3105,0
"AUSTRALIA","Acyclic monoamines and their derivatives; salts thereof",72120,40,1803,0
"TAIWAN, PR","Acyclic monoamines and their derivatives; salts thereof",24641,20,1232,0
"GERMANY, F","Acyclic monoamines and their derivatives; salts thereof",216300,10,21630,0
"UNITED KIN","Acyclic monoamines and their derivatives; salts thereof",4729182,4000,1182,0
"UNITED KIN","Aromatic polyamines and their derivatives; salts thereof",703597,40,17590,0
"BELGIUM","Amino-alcohols, their ethers and esters; salts thereof",940524,365,2577,0
"TAIWAN, PR","Amino-alcohols, their ethers and esters; salts thereof",3467527,4560,760,0
"FRANCE","Amino-alcohols, their ethers and esters; salts thereof",5759115,5156,1117,0
"GERMANY, F","Amino-alcohols, their ethers and esters; salts thereof",1112401,720,1545,0
"UNITED KIN","Amino-alcohols, their ethers and esters; salts thereof",670444,540,1242,0
"TAIWAN, PR","Lysine and its esters; salts thereof; glutamic acid and its salts",15423463,12000,1285,0
"HONG KONG","Lysine and its esters; salts thereof; glutamic acid and its salts",38079360,39900,954,0
"KOREA REPU","Lysine and its esters; salts thereof; glutamic acid and its salts",28544495,26400,1081,0
"SWITZERLAN","Amino-acids and their esters, no >1 oxygen function; salts thereof, nes",2869626,900,3188,0
"TAIWAN, PR","Acyclic amides (incl. Carbamates) and derivatives; salts thereof",233188,400,583,0
"INDIA","Other cyclic amides (incl. carbamates) and derivatives; salts thereof",1179763,100,11798,0
"JAPAN","Other cyclic amides (incl. carbamates) and derivatives; salts thereof",33389156,6000,5565,0
"BELGIUM","Quaternary ammonium salts and hydroxides; lecithins, etc",1921397,20,96070,0
"FRANCE","Quaternary ammonium salts and hydroxides; lecithins, etc",3378405,5000,676,0
"GERMANY, F","Quaternary ammonium salts and hydroxides; lecithins, etc",5023484,6615,759,0
"UNITED KIN","Quaternary ammonium salts and hydroxides; lecithins, etc",854082,340,2512,0
"UNITED STA","Quaternary ammonium salts and hydroxides; lecithins, etc",24539112,24572,999,0
"DENMARK","Carboxyimide-function compounds and amino-function compounds",1930202,200,9651,0
"GERMANY, F","Carboxyimide-function compounds and amino-function compounds",1590364,200,7952,0
"JAPAN","Carboxyimide-function compounds and amino-function compounds",3368115,500,6736,0
"UNITED KIN","Carboxyimide-function compounds and amino-function compounds",1763365,22,80153,0
"UNITED STA","Carboxyimide-function compounds and amino-function compounds",1031168,400,2578,0
"GERMANY, F","Diazo-, azo-, and azoxy-compounds",11642355,790,14737,0
"KOREA REPU","Diazo-, azo-, and azoxy-compounds",9876332,11600,851,0
"SWITZERLAN","Diazo-, azo-, and azoxy-compounds",65291151,6500,10045,0
"GERMANY, F","Organic derivatives of hydrazine or of hydroxylamine",537059,100,5371,0
"BELGIUM","Compounds with other nitrogen function, nes",294180868,218700,1345,0.02
"DENMARK","Compounds with other nitrogen function, nes",3860404,400,9651,0
"FRANCE","Compounds with other nitrogen function, nes",395947363,319500,1239,0.02
"GERMANY, F","Compounds with other nitrogen function, nes",118971175,100200,1187,0.01
"UNITED STA","Compounds with other nitrogen function, nes",99304181,80000,1241,0.01
"CHINA","Dithiocarbonates (xanthates)",81617002,86680,942,0
"UNITED STA","Other organo-inorganic compounds, nes",684840,1700,403,0
"TAIWAN, PR","Compounds containing an unfused pyridine ring in the structure",291485,150,1943,0
"TAIWAN, PR","Compounds with quinoline or isoquinoline ring-system, not further fused",280667,140,2005,0
"UNITED KIN","Compounds with quinoline or isoquinoline ring-system, not further fused",530775,200,2654,0
"KOREA REPU","Compounds with pyrimidine or piperazine ring …; nucleic acids…",11238589,10000,1124,0
"UNITED KIN","Compounds with pyrimidine or piperazine ring …; nucleic acids…",4935839,3788,1303,0
"NETHERLAND","Sulphonamides",6022,10,602,0
"UNITED KIN","Sulphonamides",5430237,1000,5430,0
"CHINA","Acetals and hemiacetals and their halogenated … derivatives",4066015,500,8132,0
"GERMANY, F","Acetals and hemiacetals and their halogenated … derivatives",25777316,11470,2247,0
"ITALY","Acetals and hemiacetals and their halogenated … derivatives",2638331,1000,2638,0
"JAPAN","Acetals and hemiacetals and their halogenated … derivatives",5463054,768,7113,0
"NORWAY","Acetals and hemiacetals and their halogenated … derivatives",9162330,1000,9162,0
"SWITZERLAN","Acetals and hemiacetals and their halogenated … derivatives",20398525,3060,6666,0
"HONG KONG","Other epoxides, epoxyalcohols, etc, and their … derivatives",8650193,10000,865,0
"DENMARK","Acyclic, cyclanic … and aromatic ethers, and their … derivatives",230545,70,3294,0
"SWITZERLAN","Acyclic, cyclanic … and aromatic ethers, and their … derivatives",2977679,113,26351,0
"UNITED KIN","Acyclic, cyclanic … and aromatic ethers, and their … derivatives",20514120,3186,6439,0
"UNITED STA","Acyclic, cyclanic … and aromatic ethers, and their … derivatives",328747,19,17302,0
"BELGIUM","Ether-alcohols, ether phenols, etc; alcohol …; and their … derivatives",1135289,240,4730,0
"TAIWAN, PR","Ether-alcohols, ether phenols, etc; alcohol …; and their … derivatives",12442430,5000,2488,0
"GERMANY, F","Ether-alcohols, ether phenols, etc; alcohol …; and their … derivatives",821568,435,1889,0
"BELGIUM","Acyclic aldehydes without other oxygen function",3874770,9870,393,0
"UNITED KIN","Acyclic aldehydes without other oxygen function",1483500,3220,461,0
"AUSTRALIA","Acetone",119599,40,2990,0
"DENMARK","Acetone",158519,16,9907,0
"SPAIN","Acetone",250617,467,537,0
"UNITED KIN","Acetone",135794,38,3574,0
"TANZANIA","Acetone",392453,160,2453,0
"UNITED KIN","Butanone (ethyl methyl ketone)",36049,39,924,0
"AUSTRALIA","Other acyclic ketones without other oxygen function",182103,40,4553,0
"DENMARK","Other acyclic ketones without other oxygen function",150592,48,3137,0
"UNITED KIN","Other acyclic ketones without other oxygen function",308848,50,6177,0
"UNITED KIN","Halogenated, sulphonated, nitrosated derivatives of 51621-2",1481067,130,11393,0
"DENMARK","Enzymes; prepared enzymes, nes.",163311,3,54437,0
"FRANCE","Enzymes; prepared enzymes, nes.",258321,1504,172,0
"GERMANY, F","Enzymes; prepared enzymes, nes.",848364,500,1697,0
"SWIZERLAN","Enzymes; prepared enzymes, nes.",9432695,2500,3773,0
"UNITED KIN","Sugars, pure (excl. glucose, etc); sugar ethers and salts, etc",494629,370,1337,0
"AUSTRALIA","Other organic compounds, nes",968363,28,34584,0
"FRANCE","Other organic compounds, nes",52750519,39836,1324,0
"GERMANY, F","Other organic compounds, nes",13458390,6901,1950,0
"ITALY","Other organic compounds, nes",7831714,10310,760,0
"COTE D' IVO","Other organic compounds, nes",4346767,630,6900,0
"SWIZERLAN","Other organic compounds, nes",1003300,19,52805,0
"UNITED KIN","Other organic compounds, nes",156066395,215717,723,0.01
"UNITED STA","Other organic compounds, nes",16527517,5169,3197,0
"GERMANY, F","Carbon (including carbon blacks), nes",3250811,1014,3206,0
"SINGAPORE","Carbon (including carbon blacks), nes",22431504,17200,1304,0
"BELGIUM","Hydrogen, rare gases, nitrogen and oxygen",4365063,16991,257,0
"FRANCE","Hydrogen, rare gases, nitrogen and oxygen",4119978,14900,277,0
"ITALY","Hydrogen, rare gases, nitrogen and oxygen",4365063,17191,254,0
"NETHERLAND","Hydrogen, rare gases, nitrogen and oxygen",930555,25,37222,0
"UNITED STA","Hydrogen, rare gases, nitrogen and oxygen",81341724,81917,993,0
"AUSTRALIA","Selenium, tellurium, phosphorus, arsenic and boron",72721,195,373,0
"GERMANY, F","Selenium, tellurium, phosphorus, arsenic and boron",73641,120,614,0
"ITALY","Selenium, tellurium, phosphorus, arsenic and boron",4564595,17200,265,0
"UNITED STA","Selenium, tellurium, phosphorus, arsenic and boron",50125804,60959,822,0
"CHINA","Silicon",2753251,250,11013,0
"UNITED KIN","Silicon",514825,29,17753,0
"GERMANY, F","Chlorine",45014253,77723,579,0
"UNITED KIN","Chlorine",4218185,10728,393,0
"UNITED STA","Chlorine",27554938,2299,11986,0
"UNITED KIN","Fluorine, bromine and iodine",548432,200,2742,0
"GERMANY, F","Sulphur, sublimed or precipitated; colloidal sulphur",4808121,9450,509,0
"UNITED KIN","Sulphur, sublimed or precipitated; colloidal sulphur",572918,216,2652,0
"SWITZERLAN","Mercury",8617739,147,58624,0
"UNITED KIN","Mercury",62140,49,1268,0
"GERMANY, F","Sodium and other alkali metals",7143166,1645,4342,0
"NETHERLAND","Sodium and other alkali metals",17750472,2400,7396,0
"UNITED KIN","Sodium and other alkali metals",2864208,1062,2697,0
"UNITED STA","Sodium and other alkali metals",1833651,200,9168,0
"BELGIUM","Calcium, strontium and barium; rare eath metals, scandium and yttrium",3512140,14400,244,0
"UNITED KIN","Calcium, strontium and barium; rare eath metals, scandium and yttrium",45595,8,5687,0
"AUSTRALIA","Hydrogen chloride (hydrochloric acid); chlorosulphuric acid",11452744,6490,1765,0
"BELGIUM","Hydrogen chloride (hydrochloric acid); chlorosulphuric acid",13453244,90600,148,0
"GERMANY, F","Hydrogen chloride (hydrochloric acid); chlorosulphuric acid",5579057,28890,193,0
"NETHERLAND","Hydrogen chloride (hydrochloric acid); chlorosulphuric acid",36225506,176704,205,0
"SWITZERLAN","Hydrogen chloride (hydrochloric acid); chlorosulphuric acid",3706203,19200,193,0
"TURKEY","Hydrogen chloride (hydrochloric acid); chlorosulphuric acid",3738690,17000,220,0
"UNITED KIN","Hydrogen chloride (hydrochloric acid); chlorosulphuric acid",16970925,77528,219,0
"UNITED STA","Hydrogen chloride (hydrochloric acid); chlorosulphuric acid",171285,1,171285,0
"AUSTRALIA","Sulphuric acid; oleum",215759,450,479,0
"BELGIUM","Sulphuric acid; oleum",19225793,83850,229,0
"FRANCE","Sulphuric acid; oleum",3630932,1988,1826,0
"GERMANY, F","Sulphuric acid; oleum",3115706,12158,256,0
"ITALY","Sulphuric acid; oleum",2202015,3860,570,0
"KOREA DEMO","Sulphuric acid; oleum",278018,1000,278,0
"NETHERLAND","Sulphuric acid; oleum",21108374,94300,224,0
"UNITED KIN","Sulphuric acid; oleum",28563260,45004,635,0
"AUSTRALIA","Nitric acid; sulphonitric acids",12031369,6200,1941,0
"FRANCE","Nitric acid; sulphonitric acids",75558,420,180,0
"GERMANY, F","Nitric acid; sulphonitric acids",3507400,34708,101,0
"UNITED KIN","Nitric acid; sulphonitric acids",1353814,661,2048,0
"UNITED KIN","Diphosphorus pentoxide; phosphoric acid and polyphosphoric acids",220974,30,7366,0
"GERMANY, F","Oxides of boron; boric acids",898755,1000,899,0
"AUSTRALIA","Other inorganic acids",4464488,1602,2787,0
"GERMANY, F","Other inorganic acids",3169834,2000,1585,0
"UNITED KIN","Other inorganic acids",4213099,962,4380,0
"GERMANY, F","Silicon dioxide",9906537,15100,656,0
"SWITZERLAN","Silicon dioxide",1079995,58,18621,0
"UNITED KIN","Silicon dioxide",11166994,4200,2659,0
"ITALY","Halides and halide oxides of non-metals",187440,200,937,0
"UNITED KIN","Halides and halide oxides of non-metals",19796,10,1980,0
"UNITED KIN","Sulphides of non-metals; commercial phosphorus trisulphide",171276,1,171276,0
"CHINA","Zinc oxide; zinc peroxide",24217788,23450,1033,0
"KOREA REPU","Zinc oxide; zinc peroxide",4273956,10000,427,0
"UNITED KIN","Zinc oxide; zinc peroxide",374388,17,22023,0
"UNITED STA","Zinc oxide; zinc peroxide",2512180,2000,1256,0
"UNITED KIN","Chromium oxides and hydroxides",40348,24,1681,0
"HONG KONG","Manganese oxides",16733042,20000,837,0
"UNITED KIN","Manganese oxides",136594011,16420,8319,0.01
"FRANCE","Iron oxides and hydroxides; earth colours >70% Fe2003",406764,8,50846,0
"GERMANY, F","Iron oxides and hydroxides; earth colours >70% Fe2004",3040863,1000,3041,0
"UNITED KIN","Iron oxides and hydroxides; earth colours >70% Fe2005",2144110,903,2374,0
"UNITED KIN","Titanium oxides",7155889,7000,1022,0
"UNITED KIN","Lead oxides; red lead and orange lead",3436429,1485,2314,0
"AUSTRALIA","Ammonia; anhydrous, or in aqueous solution",19833,1000,20,0
"TAIWAN, PR","Ammonia; anhydrous, or in aqueous solution",323268,900,359,0
"FRANCE","Ammonia; anhydrous, or in aqueous solution",9881780,26300,376,0
"GERMANY, F","Ammonia; anhydrous, or in aqueous solution",11386863,190,59931,0
"NETHERLAND","Ammonia; anhydrous, or in aqueous solution",532860,2010,265,0
"UNITED KIN","Ammonia; anhydrous, or in aqueous solution",7277756,7018,1037,0
"UNITED STA","Ammonia; anhydrous, or in aqueous solution",8910426,2098,4247,0
"AUSTRALIA","Sodium hydroxide (caustic soda), solid",18631,100,186,0
"BELGIUM","Sodium hydroxide (caustic soda), solid",45605855,179140,255,0
"CHINA","Sodium hydroxide (caustic soda), solid",147846,300,493,0
"DENMARK","Sodium hydroxide (caustic soda), solid",1839391,2000,920,0
"FRANCE","Sodium hydroxide (caustic soda), solid",110090598,311532,353,0
"GERMANY, F","Sodium hydroxide (caustic soda), solid",149128838,524800,284,0.01
"NETHERLAND","Sodium hydroxide (caustic soda), solid",32664299,121000,270,0
"POLAND","Sodium hydroxide (caustic soda), solid",8518574,50400,169,0
"UNITED KIN","Sodium hydroxide (caustic soda), solid",358067048,1144062,313,0.02
"FRANCE","Sodium hydroxide in aqueous solution (soda lye or liquid soda)",298199599,1994506,150,0.02
"GERMANY, F","Sodium hydroxide in aqueous solution (soda lye or liquid soda)",7260574,36580,198,0
"UNITED STA","Sodium hydroxide in aqueous solution (soda lye or liquid soda)",379813,3,126604,0
"TAIWAN, PR","Potassium hydroxide (caustic potash); peroxides of sodium or potassium",216961,420,517,0
"UNITED KIN","Potassium hydroxide (caustic potash); peroxides of sodium or potassium",130841,36,3634,0
"GERMANY, F","Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides,",743437,100,7434,0
"UNITED KIN","Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides,",39857,40,996,0
"AUSTRALIA","Other inorganic bases and metallic oxides, hdroxides and peroxides, nes",15626,200,78,0
"FRANCE","Other inorganic bases and metallic oxides, hdroxides and peroxides, nes",234374,10,23437,0
"GERMANY, F","Fluorides; fluorosilicates … and other complex fluorine salts",44135907,181900,243,0
"TUNISIA","Fluorides; fluorosilicates … and other complex fluorine salts",1107007092,2200000,503,0.06
"UNITED KIN","Fluorides; fluorosilicates … and other complex fluorine salts",2353891,21000,112,0
"UNITED STA","Fluorides; fluorosilicates … and other complex fluorine salts",505752919,1062875,476,0.03
"BELGIUM","Ammonium chloride",22868646,108000,212,0
"GERMANY, F","Ammonium chloride",3200080,9000,356,0
"UNITED KIN","Ammonium chloride",1511051,1607,940,0
"BELGIUM","Calcium chloride",11850804,44400,267,0
"CONGO","Calcium chloride",35211182,60950,578,0
"GERMANY, F","Calcium chloride",4295353,15500,277,0
"UNITED KIN","Calcium chloride",69734,996,70,0
"AUSTRALIA","Other chlorides, chloride oxides and chloride hydroxides; bromides and",217076,480,452,0
"BELGIUM","Other chlorides, chloride oxides and chloride hydroxides; bromides and",1719027,3035,566,0
"CHINA","Other chlorides, chloride oxides and chloride hydroxides; bromides and",2281992,5000,456,0
"GERMANY, F","Other chlorides, chloride oxides and chloride hydroxides; bromides and",4303073,2050,2099,0
"JAPAN","Other chlorides, chloride oxides and chloride hydroxides; bromides and",6024189,1200,5020,0
"SPAIN","Other chlorides, chloride oxides and chloride hydroxides; bromides and",12356536,24000,515,0
"UNITED KIN","Other chlorides, chloride oxides and chloride hydroxides; bromides and",1788302,416,4299,0
"BELGIUM","Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites",2748830,8818,312,0
"CHINA","Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites",6674105,7420,899,0
"INDIA","Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites",148097819,788000,188,0.01
"JAPAN","Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites",7961618,4950,1608,0
"UNITED KIN","Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites",1963856,1690,1162,0
"UNITED STA","Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites",10830621,38416,282,0
"UNITED KIN","Chlorates of sodium",2041279,1500,1361,0
"TAIWAN, PR","Other chlorates and perchlorates; bromates and perbromates; iodates, etc",454957,500,910,0
"UNITED KIN","Other chlorates and perchlorates; bromates and perbromates; iodates, etc",7779087,2505,3105,0
"GERMANY, F","Sodium sulphide",10355980,24000,431,0
"UNITED KIN","Sodium sulphide",1178078,1040,1133,0
"UNITED KIN","Sulphides; polysulphides (excl. sodium sulphide)",19031922,3200,5947,0
"COTE D' IVO","Dithionites and sulphides (excl. sodium sulphide)",2784150,5000,557,0
"GERMANY, F","Sulphites; thiosulphates",19619346,20300,966,0
"NETHERLAND","Sulphites; thiosulphates",3648700,9840,371,0
"UNITED KIN","Sulphites; thiosulphates",15954796,18650,855,0
"UNITED STA","Sulphites; thiosulphates",237395,450,528,0
"GERMANY, F","Sodium sulphates",8593223,22198,387,0
"SPAIN","Sodium sulphates",43694272,336000,130,0
"UNITED KIN","Sodium sulphates",5125471,3874,1323,0
"BELGIUM","Other sulphates; alums",5592430,3000,1864,0
"CHINA","Other sulphates; alums",10655097,25160,423,0
"HONG KONG","Other sulphates; alums",4384295,13520,324,0
"NETHERLAND","Other sulphates; alums",34014901,57728,589,0
"SOUTH AFRI","Other sulphates; alums",6370600,1100,5791,0
"UNITED KIN","Other sulphates; alums",13185770,42312,312,0
"BELGIUM","Nitrites",618347,1000,618,0
"GERMANY, F","Nitrites",13598099,11120,1223,0
"NETHERLAND","Nitrites",539514,1000,540,0
"POLAND","Nitrites",1431568,3000,477,0
"AUSTRALIA","Potassium nitrate",276460,380,728,0
"GERMANY, F","Potassium nitrate",2217626,5000,444,0
"UNITED KIN","Potassium nitrate",259170,252,1028,0
"SWEDEN","Nitrates (excl. potassium nitrate)",38339170,19000,2018,0
"SWITZERLAN","Nitrates (excl. potassium nitrate)",239139,72,3321,0
"UNITED KIN","Nitrates (excl. potassium nitrate)",432620,1843,235,0
"UNITED STA","Nitrates (excl. potassium nitrate)",43973864,200070,220,0
"CHINA","Phosphates (excl. triammonium phosphate)",625040,1000,625,0
"FRANCE","Phosphates (excl. triammonium phosphate)",428526,950,451,0
"GERMANY, F","Phosphates (excl. triammonium phosphate)",9487331,4530,2094,0
"UNITED KIN","Phosphates (excl. triammonium phosphate)",3953466,1950,2027,0
"UNITED STA","Phosphates (excl. triammonium phosphate)",714589,29,24641,0
"UNITED KIN","Sodium triphosphate (sodium tripolyphosphate)",122101691,336000,363,0.01
"GERMANY, F","Polyhosphates (excl. sodium triphosphate (sodium tripolyphosphate))",3172064,200,15860,0
"SWITZERLAN","Polyhosphates (excl. sodium triphosphate (sodium tripolyphosphate))",134418,72,1867,0
"BELGIUM","Neutral sodium carbonate (disodium carbonate)",2077876,12000,173,0
"GERMANY, F","Neutral sodium carbonate (disodium carbonate)",35081921,218000,161,0
"JAPAN","Neutral sodium carbonate (disodium carbonate)",953982,460,2074,0
"GERMANY, F","Neutral sodium carbonate (disodium carbonate)",812159,22090,37,0
"NETHERLAND","Neutral sodium carbonate (disodium carbonate)",6444768,20000,322,0
"POLAND","Neutral sodium carbonate (disodium carbonate)",9438278,37800,250,0
"UNITED KIN","Neutral sodium carbonate (disodium carbonate)",9303668,27610,337,0
"AUSTRALIA","Other carbontes, nes",58898,50,1178,0
"BRAZIL","Other carbontes, nes",3898752,40000,97,0
"FRANCE","Other carbontes, nes",10041218,63600,158,0
"GERMANY, F","Other carbontes, nes",4952071,4000,1238,0
"SOUTH AFRI","Other carbontes, nes",65509,15,4367,0
"SPAIN","Other carbontes, nes",11150307,104260,107,0
"UNITED KIN","Other carbontes, nes",7238230,2604,2780,0
"AUSTRALIA","Cyanides, cyanide oxides and complex cyanides",689527552,1280537,538,0.04
"GERMANY, F","Cyanides, cyanide oxides and complex cyanides",24891846,461300,540,0.01
"HIGH SEAS","Cyanides, cyanide oxides and complex cyanides",1600463,43538,37,0
"UNITED KIN","Cyanides, cyanide oxides and complex cyanides",337284749,628512,537,0.02
"UNITED STA","Cyanides, cyanide oxides and complex cyanides",717441096,980630,732,0.04
"BELGIUM","Silicates; commercial alkali metal silicates",1548729,15090,103,0
"GERMANY, F","Silicates; commercial alkali metal silicates",26962593,103210,261,0
"NETHERLAND","Silicates; commercial alkali metal silicates",8760162,7400,1184,0
"UNITED KIN","Silicates; commercial alkali metal silicates",5531924,4000,1383,0
"UNITED STA","Silicates; commercial alkali metal silicates",33806851,4659,7256,0
"AUSTRALIA","Borates; peroxoborates (perborates)",870628,726,1199,0
"BELGIUM","Borates; peroxoborates (perborates)",1502461,2000,751,0
"UNITED KIN","Borates; peroxoborates (perborates)",442713,480,922,0
"UNITED KIN","Salts of inorganic acids or peroxoacides, nes",27850,100,279,0
"AUSTRALIA","Colloidal precious metals; inorganic/organic compounds of precious metal",325033,252,1290,0
"UNITED KIN","Colloidal precious metals; inorganic/organic compounds of precious metal",32104236,8288,3874,0
"AUSTRIA","Hydrogen preoxide, whether or not solidified with urea",9340479,20475,456,0
"BELGIUM","Hydrogen preoxide, whether or not solidified with urea",4028632,7260,555,0
"FRANCE","Hydrogen preoxide, whether or not solidified with urea",5796044,10470,554,0
"SWEDEN","Hydrogen preoxide, whether or not solidified with urea",822612,7000,118,0
"UNITED KIN","Phosphides, whether or not chemically defined (excl. ferrophosphates)",266945,1,266945,0
"BELGIUM","Calcium carbide, whether or not chemically defined",85506636,266808,325,0
"BRAZIL","Calcium carbide, whether or not chemically defined",52819806,163000,324,0
"ITALY","Calcium carbide, whether or not chemically defined",4149304,10000,415,0
"POLAND","Calcium carbide, whether or not chemically defined",46363230,130080,356,0
"ZIMBABWE","Calcium carbide, whether or not chemically defined",2115520,5280,401,0
"SWEDEN","Calcium carbide, whether or not chemically defined",23466838,81600,324,0
"UNITED KIN","Calcium carbide, whether or not chemically defined",6339168,42000,151,0
"GERMANY, F","Carbides (excl. calcium carbide), whether or not chemically defined",213266,15,14218,0
"UNITED STA","Carbides (excl. calcium carbide), whether or not chemically defined",30877852,13042,2368,0
"GERMANY, F","Inorganic compounds, nes; liquid or compressed air; amalgams, nes",2414372,1975,1222,0
"ITALY","Inorganic compounds, nes; liquid or compressed air; amalgams, nes",4344124,16175,269,0
"COTE D' IVO","Inorganic compounds, nes; liquid or compressed air; amalgams, nes",1289145,100,12891,0
"JAPAN","Inorganic compounds, nes; liquid or compressed air; amalgams, nes",6188497,30,206283,0
"ZIMBABWE","Inorganic compounds, nes; liquid or compressed air; amalgams, nes",626242,17,36838,0
"UNITED KIN","Inorganic compounds, nes; liquid or compressed air; amalgams, nes",136712917,16670,8201,0.01
"UNITED KIN","Isotopes (excl. heading 5251); compounds of such isotopes",324778,120,2706,0
"COTE D' IVO","Compounds, inorganic or organic, of rare-earth metals; mixtures thereof",800190,20000,40,0
"GERMANY, F","Disperse dyes and preparations based thereon",3614354,270,13386,0
"SWITZERLAN","Disperse dyes and preparations based thereon",7071776,250,28287,0
"UNITED KIN","Disperse dyes and preparations based thereon",178839,450,397,0
"UNITED KIN","Acid dyes and preparations based thereon; mordant dyes and preparations",699906,20,34995,0
"GERMANY, F","Basic dyes and preparations based thereon",100358,1,100358,0
"COTE D' IVO","Basic dyes and preparations based thereon",1686278,255,6613,0
"NETHERLAND","Basic dyes and preparations based thereon",360600,160,2254,0
"SWITZERLAN","Basic dyes and preparations based thereon",49818103,3000,16606,0
"UNITED KIN","Basic dyes and preparations based thereon",2830487,1780,1590,0
"UNITED STA","Basic dyes and preparations based thereon",2273583,1250,1819,0
"NIGERIA","Direct dyes and preparations based thereon",86484,2,43242,0
"UNITED KIN","Direct dyes and preparations based thereon",1042736,760,1372,0
"GERMANY, F","Vat dyes and preparations based thereon",69951894,25600,2732,0
"ITALY","Vat dyes and preparations based thereon",3111971,160,19450,0
"NETHERLAND","Vat dyes and preparations based thereon",869046,1000,869,0
"SWITZERLAN","Vat dyes and preparations based thereon",23644542,1500,15763,0
